srcNodeId	srcNodeType	dstNodeId	dstNodeType	rel	wallTime	hasUserGesture	method	referrerPolicy	windowName	type
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	10_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	1e2531cf4a4287b82e7f757881eb5c1e	Resource	request	1763087195.666558	False	GET	origin		
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	11_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	12_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	13_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	14_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	15_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	16_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	18_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	19_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	20_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	21_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	22_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	23_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	24_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	25_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Frame	26_77BD191BAAE37257C019E8F00AA56084_1BC2315830C234C2D3C91D0F0F08701E	Script	compile						
